date,IPRC
2016/7/1,0.5107132
2016/7/2,0.5107132
2016/7/3,0.5107132
2016/7/4,0.5107132
2016/7/5,0.5107132
2016/7/6,0.5107132
2016/7/7,0.5107132
2016/7/8,0.5107132
2016/7/9,0.5107132
2016/7/10,0.5107132
2016/7/11,0.8591173
2016/7/12,0.5107132
2016/7/13,0.5107132
2016/7/14,0.5107132
2016/7/15,0.5107132
2016/7/16,0.5107132
2016/7/17,0.5107132
2016/7/18,0.8591173
2016/7/19,0.8591173
2016/7/20,0.35238123
2016/7/21,0.5107132
2016/7/22,0.8591173
2016/7/23,0.8591173
2016/7/24,0.5107132
2016/7/25,0.5107132
2016/7/26,0.5107132
2016/7/27,0.5107132
2016/7/28,0.5107132
2016/7/29,0.5107132
2016/7/30,0.5107132
2016/7/31,0.5107132
2016/8/1,0.5107132
2016/8/2,0.5107132
2016/8/3,0.5107132
2016/8/4,0.5107132
2016/8/5,0.5107132
2016/8/6,0.5107132
2016/8/7,0.5107132
2016/8/8,0.35238123
2016/8/9,0.5107132
2016/8/10,0.5107132
2016/8/11,0.5107132
2016/8/12,0.5107132
2016/8/13,0.35238123
2016/8/14,0.35238123
2016/8/15,0.35238123
2016/8/16,0.35238123
2016/8/17,0.5107132
2016/8/18,0.5107132
2016/8/19,0.35238123
2016/8/20,0.35238123
2016/8/21,0.5107132
2016/8/22,0.5107132
2016/8/23,0.5107132
2016/8/24,0.5107132
2016/8/25,0.5107132
2016/8/26,0.35238123
2016/8/27,0.35238123
2016/8/28,0.35238123
2016/8/29,0.5107132
2016/8/30,0.5107132
2016/8/31,0.35238123
2016/9/1,0.35238123
2016/9/2,0.35238123
2016/9/3,0.5107132
2016/9/4,0.35238123
2016/9/5,0.5107132
2016/9/6,0.5107132
2016/9/7,0.5107132
2016/9/8,0.5107132
2016/9/9,0.5107132
2016/9/10,0.5107132
2016/9/11,0.5107132
2016/9/12,0.5107132
2016/9/13,0.8591173
2016/9/14,0.8591173
2016/9/15,0.8591173
2016/9/16,0.8591173
2016/9/17,0.5107132
2016/9/18,0.5107132
2016/9/19,0.5107132
2016/9/20,0.5107132
2016/9/21,0.8591173
2016/9/22,1.4208032
2016/9/23,1.4208032
2016/9/24,1.4208032
2016/9/25,1.4208032
2016/9/26,1.4208032
2016/9/27,0.8591173
2016/9/28,0.5107132
2016/9/29,0.8591173
2016/9/30,0.8591173
2016/10/1,1.4208032
2016/10/2,1.4208032
2016/10/3,2.2721484
2016/10/4,1.4208032
2016/10/5,0.5107132
2016/10/6,0.8591173
2016/10/7,0.5107132
2016/10/8,0.5107132
2016/10/9,0.8591173
2016/10/10,0.8591173
2016/10/11,0.8591173
2016/10/12,0.8591173
2016/10/13,1.4208032
2016/10/14,0.5107132
2016/10/15,0.5107132
2016/10/16,0.8591173
2016/10/17,0.8591173
2016/10/18,1.4208032
2016/10/19,1.4208032
2016/10/20,1.4208032
2016/10/21,0.5107132
2016/10/22,0.5107132
2016/10/23,0.5107132
2016/10/24,0.5107132
2016/10/25,0.8591173
2016/10/26,0.8591173
2016/10/27,0.5107132
2016/10/28,0.5107132
2016/10/29,0.5107132
2016/10/30,0.8591173
2016/10/31,0.5107132
2016/11/1,0.8591173
2016/11/2,1.4208032
2016/11/3,1.4208032
2016/11/4,1.4208032
2016/11/5,1.4208032
2016/11/6,0.8591173
2016/11/7,1.4208032
2016/11/8,0.8591173
2016/11/9,0.8591173
2016/11/10,0.8591173
2016/11/11,1.4208032
2016/11/12,1.4208032
2016/11/13,1.4208032
2016/11/14,2.2721484
2016/11/15,1.4208032
2016/11/16,1.4208032
2016/11/17,1.4208032
2016/11/18,2.2721484
2016/11/19,1.4208032
2016/11/20,0.8591173
2016/11/21,0.5107132
2016/11/22,0.5107132
2016/11/23,0.8591173
2016/11/24,0.8591173
2016/11/25,1.4208032
2016/11/26,0.8591173
2016/11/27,0.8591173
2016/11/28,0.8591173
2016/11/29,1.4208032
2016/11/30,2.2721484
2016/12/1,0.8591173
2016/12/2,1.4208032
2016/12/3,2.9094923
2016/12/4,2.9094923
2016/12/5,1.4208032
2016/12/6,1.4208032
2016/12/7,1.4208032
2016/12/8,0.8591173
2016/12/9,0.5107132
2016/12/10,1.4208032
2016/12/11,1.4208032
2016/12/12,2.2721484
2016/12/13,0.8591173
2016/12/14,1.4208032
2016/12/15,1.4208032
2016/12/16,2.2721484
2016/12/17,2.9094923
2016/12/18,2.9094923
2016/12/19,2.9094923
2016/12/20,2.9094923
2016/12/21,2.9094923
2016/12/22,0.8591173
2016/12/23,0.5107132
2016/12/24,1.4208032
2016/12/25,1.4208032
2016/12/26,1.4208032
2016/12/27,0.8591173
2016/12/28,1.4208032
2016/12/29,1.4208032
2016/12/30,2.2721484
2016/12/31,2.9094923
2017/1/1,2.2721484
2017/1/2,2.2721484
2017/1/3,1.4208032
2017/1/4,2.2721484
2017/1/5,2.2721484
2017/1/6,1.4208032
2017/1/7,1.4208032
2017/1/8,1.4208032
2017/1/9,0.8591173
2017/1/10,0.8591173
2017/1/11,1.4208032
2017/1/12,0.8591173
2017/1/13,0.8591173
2017/1/14,1.4208032
2017/1/15,1.4208032
2017/1/16,1.4208032
2017/1/17,1.4208032
2017/1/18,2.2721484
2017/1/19,0.8591173
2017/1/20,0.5107132
2017/1/21,0.5107132
2017/1/22,0.5107132
2017/1/23,1.4208032
2017/1/24,1.4208032
2017/1/25,2.2721484
2017/1/26,2.2721484
2017/1/27,1.4208032
2017/1/28,2.2721484
2017/1/29,1.4208032
2017/1/30,0.5107132
2017/1/31,0.8591173
2017/2/1,0.8591173
2017/2/2,1.4208032
2017/2/3,1.4208032
2017/2/4,2.2721484
2017/2/5,2.2721484
2017/2/6,1.4208032
2017/2/7,0.5107132
2017/2/8,0.5107132
2017/2/9,0.5107132
2017/2/10,0.5107132
2017/2/11,0.5107132
2017/2/12,0.8591173
2017/2/13,1.4208032
2017/2/14,2.2721484
2017/2/15,2.9094923
2017/2/16,1.4208032
2017/2/17,0.5107132
2017/2/18,0.8591173
2017/2/19,1.4208032
2017/2/20,0.5107132
2017/2/21,0.5107132
2017/2/22,0.5107132
2017/2/23,0.5107132
2017/2/24,0.5107132
2017/2/25,0.5107132
2017/2/26,0.5107132
2017/2/27,0.5107132
2017/2/28,0.5107132
2017/3/1,0.5107132
2017/3/2,0.5107132
2017/3/3,0.8591173
2017/3/4,1.4208032
2017/3/5,0.8591173
2017/3/6,0.5107132
2017/3/7,0.5107132
2017/3/8,0.5107132
2017/3/9,0.5107132
2017/3/10,0.8591173
2017/3/11,0.8591173
2017/3/12,0.5107132
2017/3/13,0.5107132
2017/3/14,0.5107132
2017/3/15,0.8591173
2017/3/16,0.8591173
2017/3/17,0.8591173
2017/3/18,1.4208032
2017/3/19,1.4208032
2017/3/20,0.5107132
2017/3/21,0.5107132
2017/3/22,0.8591173
2017/3/23,0.5107132
2017/3/24,0.8591173
2017/3/25,0.5107132
2017/3/26,0.5107132
2017/3/27,0.5107132
2017/3/28,0.5107132
